Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Croton_pachypodus,x,0,0.89,0.71,0.8
Croton_astroites,x,0,1,0.83,0.915
Croton_lanatus_var._tatacuensis,x,0,0.85,0.83,0.84
Croton_sancti_lazari,x,0,1,0.91,0.955
Croton_guatemalensis,x,0,1,0.88,0.94
Croton_luetzelburgii,x,0,0.79,0.85,0.82
Croton_parksii,x,1,0.79,0.97,0.88
Croton_lagoensis,x,0,1,0.81,0.905
Croton_rosmarinoides,x,0,1,0.83,0.915
Croton_grandivelum,x,0,1,0.83,0.915
Croton_salutaris,x,0,1,0.8,0.9
Croton_fuscescens,x,0,1,0.95,0.975
Croton_nubigenus,x,0,1,0.82,0.91
Croton_hibiscifolius,x,0,1,0.83,0.915
Croton_ceanothifolius,x,0,1,0.83,0.915
Croton_eluteria,x,0,0.63,0.91,0.77
Croton_ynesae,x,0,1,0.86,0.93
Croton_tenuilobus,x,0,1,0.74,0.87
Croton_erythroxyloides,x,0,1,0.83,0.915
Croton_eremophilus,x,0,1,0.85,0.925
Croton_repens,x,0,0.66,0.7,0.68
Croton_bispinosus,x,0,1,0.76,0.88
Croton_chichenensis,x,0,1,0.9,0.95
Croton_andinus,x,0,1,0.74,0.87
Croton_coryi,x,0,0.47,0.91,0.69
Croton_lechleri,x,0,1,0.81,0.905
Croton_laureltyanus,x,0,1,0.97,0.985
Croton_glandulosus,8,0,1,0.99,0.995
Croton_huberi,x,0,1,0.82,0.91
Croton_alamosanus,x,0,1,0.82,0.91
Croton_peraeruginosus,x,0,1,0.87,0.935
Croton_cuyabensis,x,0,1,0.74,0.87
Croton_heliotropiifolius,x,0,1,0.87,0.935
Croton_hutchinsonianus,10,0,1,1,1
Croton_betulinus,x,0,0.66,0.69,0.675
Croton_suaveolens,x,0,1,0.88,0.94
Croton_arboreus,x,0,1,0.76,0.88
Croton_cerinus,x,0,0.83,0.85,0.84
Croton_kongensis,10,0,1,1,1
Croton_aequatoris,x,0,0.56,0.92,0.74
Croton_stipulaceus,x,0,1,0.9,0.95
Croton_argentinus,10,0,1,0.97,0.985
Croton_draconoides,x,0,1,0.82,0.91
Croton_bracteatus,x,0,1,0.92,0.96
Croton_priscus,x,0,0.99,0.83,0.91
Croton_grewiifolius,x,0,1,0.86,0.93
Croton_michaelii,x,0,1,0.85,0.925
Croton_adspersus,x,0,1,0.88,0.94
Croton_guildingii_subsp._tiarensis,x,0,1,0.89,0.945
Croton_cascarilloides,10,0,1,1,1
Croton_leucophyllus,x,0,0.94,0.94,0.94
Croton_perspeciosus,x,0,1,0.8,0.9
Croton_kerrii,10,0,1,1,1
Croton_vernicosa,x,0,1,0.92,0.96
Croton_torreyanus,x,0,1,0.89,0.945
Croton_leucophyllus_var._trisepalis,x,0,1,0.87,0.935
Croton_pachysepalus,x,0,1,0.84,0.92
Croton_punctatus,14,1,0.75,0.98,0.865
Croton_laevigatus,x,0,1,0.99,0.995
Croton_jutiapensis,x,0,1,0.87,0.935
Croton_sacaquinha,x,0,1,0.81,0.905
Croton_gracilipes,x,1,0.7,0.97,0.835
Croton_celtidifolius,x,0,1,0.81,0.905
Croton_limnocharis,x,0,1,0.91,0.955
Croton_ripensis,x,0,1,0.88,0.94
Croton_ramillatus,x,0,1,0.88,0.94
Croton_skutchii,x,0,0.79,0.79,0.79
Croton_magdalenae,x,0,1,0.94,0.97
Croton_echioides,x,0,1,0.85,0.925
Croton_bojerianus,x,0,1,0.9,0.95
Croton_cupuliferus,x,0,1,0.94,0.97
Croton_verapazensis,x,0,1,0.88,0.94
Croton_icche,x,0,1,0.78,0.89
Croton_leonis,x,0,1,0.87,0.935
Croton_gossypiifolius,x,0,1,0.81,0.905
Croton_megistocarpus,x,0,0.89,0.72,0.805
Croton_impressus,x,0,1,0.9,0.95
Croton_ehrenbergii,x,0,1,0.9,0.95
Croton_pseudoniveus,x,0,1,0.78,0.89
Croton_sonorae,x,0,1,0.89,0.945
Croton_disjunctus,x,0,1,0.91,0.955
Croton_culiacanensis,x,0,1,0.8,0.9
Croton_scaber,x,0,1,0.8,0.9
Croton_saltensis,x,1,0.91,0.99,0.95
Croton_flavescens,x,0,1,0.88,0.94
Croton_montevidensis,x,0,1,0.79,0.895
Croton_macrobothrys,x,0,1,0.84,0.92
Croton_soliman,x,0,1,0.89,0.945
Croton_insularis,x,0,1,0.96,0.98
Croton_brevipes,x,0,0.99,0.84,0.915
Croton_bigbendensis,x,1,0.81,0.96,0.885
Croton_matourensis,x,0,0.79,0.75,0.77
Croton_roxanae,x,0,1,0.9,0.95
Croton_malvaviscifolius,x,0,0.66,0.68,0.67
Croton_axillaris,x,0,1,0.89,0.945
