Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Hypericum_sikokumontanum,8,0,1,1,1
Hypericum_petiolulatum_subsp._yunnanense,x,0,1,0.93,0.965
Hypericum_walteri,x,1,0.7,0.39,0.545
Hypericum_richeri_subsp._burseri,x,0,1,0.98,0.99
Hypericum_pimeleoides,x,1,1,0.96,0.98
Hypericum_microsepalum,9,0,1,1,1
Hypericum_loxense,x,0,0.99,0.95,0.97
Hypericum_tenuicaule,x,0,0.77,0.91,0.84
Hypericum_pseudolaeve,x,0,0.96,0.92,0.94
Hypericum_conjungens,x,0,0.91,0.97,0.94
Hypericum_richeri,7,0,1,1,1
Hypericum_polyphyllum,9,0,1,1,1
Hypericum_lancasteri,x,0,0.83,0.96,0.895
Hypericum_thasium,x,0,0.95,0.96,0.955
Hypericum_canariense,20,1,0.97,0.99,0.98
Hypericum_saxifragum,9,0,1,1,1
Hypericum_lloydii,x,0,1,0.99,0.995
Hypericum_dyeri,10,0,1,1,1
Hypericum_lanuginosum,8,0,1,1,1
Hypericum_patulum,18,1,1,1,1
Hypericum_aegypticum_subsp._maroccanum,x,NA,0.96,0.64,0.8
Hypericum_scabroides,x,0,1,0.99,0.995
Hypericum_elodes,8,0,1,0.98,0.99
Hypericum_orientale,8,0,1,1,1
Hypericum_sinaicum,x,0,1,1,1
Hypericum_simonsii,x,0,0.6,0.79,0.695
Hypericum_revolutum,9,0,1,1,1
Hypericum_mutilum,8,0,1,1,1
Hypericum_hypericoides,9,0,1,1,1
Hypericum_pamphylicum,x,NA,0.84,0.57,0.705
Hypericum_erectum,8,0,1,1,1
Hypericum_dolabriforme,9,0,1,1,1
Hypericum_addingtonii,x,1,0.5,0.98,0.74
Hypericum_henryi,x,0,1,0.99,0.995
Hypericum_punctatum,8,0,1,1,1
Hypericum_kalmianum,9,0,1,0.99,0.995
Hypericum_tetrastichum,x,1,0.5,0.93,0.715
Hypericum_asahinae,x,0,1,0.96,0.98
Hypericum_buckleyi,x,0,1,0.91,0.955
Hypericum_pseudopetiolatum,8,0,1,1,1
Hypericum_brasiliense,x,NA,0.72,0.82,0.77
Hypericum_xylosteifolium,20,1,0.97,0.99,0.98
Hypericum_selaginella,x,1,0.5,0.94,0.72
Hypericum_papillare,x,0,1,0.97,0.985
Hypericum_maculatum,8,0,1,1,1
Hypericum_formosum,8,0,1,0.99,0.995
Hypericum_undulatum,8,0,1,1,1
Hypericum_chapmanii,x,0,1,0.96,0.98
Hypericum_peplidifolium,8,0,1,1,1
Hypericum_aegypticum_subsp._webbii,x,NA,0.96,0.66,0.81
Hypericum_scabrum,14,1,1,1,1
Hypericum_silenoides,x,0,1,0.96,0.98
Hypericum_oblongifolium,23,1,0.98,1,0.99
Hypericum_laxiflorum,x,0,1,0.99,0.995
Hypericum_bupleuroides,x,1,0.94,0.85,0.895
Hypericum_aviculariifolium,9,0,1,1,1
Hypericum_boreale,8,0,1,1,1
Hypericum_barbatum,8,0,1,1,1
Hypericum_haplophylloides,x,0,1,0.91,0.955
Hypericum_andinum,x,NA,0.62,0.87,0.745
Hypericum_connatum,x,NA,0.75,0.79,0.77
Hypericum_sampsonii,x,1,0.71,0.78,0.745
Hypericum_perforatum_subsp._veronense,8,0,1,1,1
Hypericum_elatoides,x,0,1,0.92,0.96
Hypericum_balearicum,12,0,0.8,0.97,0.885
Hypericum_stragulum,9,0,1,1,1
Hypericum_thymbrifolium,x,0,0.9,0.98,0.94
Hypericum_maculatum_subsp._obtusiusculum,16,1,1,1,1
Hypericum_nudiflorum,9,0,1,1,1
Hypericum_fasciculatum,9,0,1,0.99,0.995
Hypericum_sabiniforme,x,NA,0.62,0.93,0.775
Hypericum_galioides,9,0,1,0.99,0.995
Hypericum_curvisepalum,x,0,1,0.97,0.985
Hypericum_scouleri,8,0,1,1,1
Hypericum_lancioides_subsp._congestiflorum,x,1,0.5,0.95,0.725
Hypericum_origanifolium,9,0,1,1,1
Hypericum_brevistylum,x,0,0.99,0.93,0.96
Hypericum_ruscoides,x,1,1,0.94,0.97
Hypericum_tomentosum,8,0,1,0.99,0.995
Hypericum_beanii,15,1,0.88,1,0.94
Hypericum_pseudohenryi,x,0,0.61,1,0.805
Hypericum_oliganthum,x,0,1,0.89,0.945
Hypericum_suffruticosum,9,0,1,0.99,0.995
Hypericum_monanthemum,x,0,0.81,0.91,0.86
Hypericum_hirsutum,9,0,1,1,1
