Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Oxalis_micrantha,9,1,0.6,0.97,0.785
Oxalis_crocea,x,NA,0.89,0.91,0.9
Oxalis_fabifolia,x,NA,0.99,0.86,0.925
Oxalis_amblyodonta,x,0,0.99,0.88,0.935
Oxalis_novemfoliolata,x,1,0.65,0.94,0.795
Oxalis_lateriflora,x,0,0.99,0.96,0.975
Oxalis_laciniata,x,1,1,0.95,0.975
Oxalis_flagellata,x,1,0.63,0.94,0.785
Oxalis_virginea,x,NA,0.58,0.85,0.715
Oxalis_virgata,x,1,0.61,0.96,0.785
Oxalis_luteola,x,1,1,0.95,0.975
Oxalis_lichenoides,x,1,0.95,0.8,0.875
Oxalis_corniculata,22,1,1,0.99,0.995
Oxalis_pinguiculacea,x,0,0.86,0.95,0.905
Oxalis_hispidula,14,1,1,0.99,0.995
Oxalis_polyphylla,x,0,0.78,0.91,0.845
Oxalis_copiosa,x,NA,0.55,0.84,0.695
Oxalis_hypsophila,x,1,0.85,0.96,0.905
Oxalis_minuta,x,NA,0.93,0.81,0.87
Oxalis_namaquana,x,NA,0.82,0.87,0.845
Oxalis_jacquiniana,7,0,1,0.98,0.99
Oxalis_deserticola,x,NA,0.82,0.88,0.85
Oxalis_magnifica,x,0,0.64,0.91,0.775
Oxalis_pachyrrhiza,9,1,0.55,0.97,0.76
Oxalis_yungasensis,x,1,0.57,0.97,0.77
Oxalis_versicolor,7,0,1,0.98,0.99
Oxalis_triangularis_subsp._papilionacea,14,1,1,0.97,0.985
Oxalis_oregana,x,1,1,0.87,0.935
Oxalis_macrocarpa,7,0,1,0.98,0.99
Oxalis_pes_caprae,x,NA,0.51,0.85,0.68
Oxalis_dichotoma,x,1,0.99,0.96,0.975
Oxalis_brasiliensis,7,0,1,0.99,0.995
Oxalis_unduavensis,8,1,0.54,0.98,0.76
Oxalis_ericifolia,x,NA,0.68,0.93,0.805
Oxalis_helicoides,x,0,1,0.97,0.985
Oxalis_bifida,x,NA,0.63,0.86,0.745
Oxalis_sonderiana,x,1,0.89,0.84,0.865
Oxalis_eriocarpa,5,0,1,0.98,0.99
Oxalis_callosa,x,NA,0.97,0.87,0.92
Oxalis_caerulea,x,0,0.65,0.97,0.81
Oxalis_cuzcensis,8,1,0.54,0.98,0.76
Oxalis_argentina,7,0,1,0.97,0.985
Oxalis_grisea,6,0,1,0.98,0.99
Oxalis_cardenasiana,x,1,0.83,0.89,0.86
Oxalis_tortuosa,x,1,0.62,0.95,0.785
Oxalis_livida,x,0,0.99,0.94,0.965
Oxalis_tuberosa,32,1,1,0.98,0.99
Oxalis_beneprotecta,x,1,0.92,0.86,0.89
Oxalis_confertifolia,x,1,0.54,0.87,0.705
Oxalis_cathara,x,NA,0.95,0.88,0.915
Oxalis_glabra,x,0,0.77,0.86,0.815
Oxalis_griffithii,11,1,1,0.98,0.99
Oxalis_salteri,x,NA,1,0.89,0.945
Oxalis_incana,x,NA,0.55,0.82,0.685
Oxalis_nubigena,x,1,0.6,0.95,0.775
Oxalis_cuneata,6,0,1,0.97,0.985
Oxalis_trollii,x,NA,1,0.91,0.955
Oxalis_pulchella,x,1,0.91,0.89,0.9
Oxalis_eckloniana,x,NA,0.93,0.82,0.875
Oxalis_drummondii,x,0,0.78,0.96,0.87
Oxalis_haedulipes,x,NA,0.55,0.84,0.695
Oxalis_arbuscula,x,1,1,0.48,0.74
Oxalis_psoraleoides,6,0,1,0.98,0.99
Oxalis_niederleinii,5,0,1,0.98,0.99
Oxalis_flaviuscula,x,NA,0.99,0.88,0.935
Oxalis_pocockiae,x,1,1,0.86,0.93
Oxalis_ornithopus,x,1,0.63,0.93,0.78
Oxalis_johnstonii,x,1,0.63,0.92,0.775
Oxalis_tenerrima,x,1,1,0.92,0.96
Oxalis_gracilis,x,NA,0.52,0.95,0.735
Oxalis_bowiei,14,1,1,0.98,0.99
Oxalis_arenaria,x,1,1,0.92,0.96
Oxalis_oulophora,8,1,0.54,0.98,0.76
Oxalis_purpurascens,x,1,0.59,0.88,0.735
Oxalis_obliquifolia,x,1,0.86,0.82,0.84
