Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Centaurea_rouyi,9,0,1,0.99,0.995
Centaurea_pectinata,11,0,1,0.99,0.995
Centaurea_cithaeronea,27,1,1,0.99,0.995
Centaurea_involucrata,11,0,1,0.99,0.995
Centaurea_friderici_subsp._jabukensis,18,1,0.99,0.99,0.99
Centaurea_rigida,8,0,1,1,1
Centaurea_gadorensis,9,0,1,0.99,0.995
Centaurea_aplolepa_subsp._maremmana,9,0,1,0.99,0.995
Centaurea_tougourensis,x,0,0.51,0.93,0.72
Centaurea_ensiformis,x,0,0.74,0.98,0.86
Centaurea_woronowii,15,1,0.95,0.99,0.97
Centaurea_chrysantha,9,0,1,1,1
Centaurea_sipylea,x,0,1,0.97,0.985
Centaurea_aspera,11,0,1,0.99,0.995
Centaurea_vallesiaca,x,0,0.93,0.98,0.955
Centaurea_ammocyanus,8,0,1,0.99,0.995
Centaurea_ptosimopappa,9,0,1,1,1
Centaurea_prolongi,10,0,1,0.99,0.995
Centaurea_polypodiifolia,8,0,1,1,1
Centaurea_kartschiana_subsp._dalmatica,9,0,1,0.99,0.995
Centaurea_leonidia,9,0,1,0.99,0.995
Centaurea_stapfiana,9,0,1,0.99,0.995
Centaurea_stoebe_subsp._australis,9,0,1,0.99,0.995
Centaurea_lycopifolia,18,1,0.99,1,0.995
Centaurea_boissieri_subsp._atlantica,9,0,1,0.99,0.995
Centaurea_papposa,x,0,0.93,0.98,0.955
Centaurea_gaubae,x,1,1,0.45,0.725
Centaurea_arenaria,16,1,1,0.99,0.995
Centaurea_ambigua,x,0,0.91,0.98,0.945
Centaurea_jacea,22,1,1,0.99,0.995
Centaurea_luschaniana,9,0,1,0.99,0.995
Centaurea_princeps,9,0,1,0.99,0.995
Centaurea_zuccariniana,9,0,1,0.99,0.995
Centaurea_resupinata_subsp._rifana,x,0,0.78,0.92,0.85
Centaurea_calolepis,9,0,1,0.99,0.995
Centaurea_litigiosa,x,0,1,0.99,0.995
Centaurea_cariensis_subsp._microlepis,x,0,0.85,0.99,0.92
Centaurea_aplolepa_subsp._cosana,9,0,1,0.99,0.995
Centaurea_leucadea,9,0,1,0.99,0.995
Centaurea_aeolica,9,0,1,0.99,0.995
Centaurea_Amoncktonii,x,0,0.54,0.99,0.765
Centaurea_mollis,22,1,1,0.99,0.995
Centaurea_kunkelii,55,1,1,0.98,0.99
Centaurea_tenoreana,9,0,1,1,1
Centaurea_cariensiformis,x,0,0.72,0.98,0.85
Centaurea_imperialis,9,0,1,1,1
Centaurea_werneri,x,0,0.94,0.95,0.945
Centaurea_rhizantha,8,0,1,1,1
Centaurea_aetolica,11,0,1,0.97,0.985
Centaurea_zeybekii,x,0,0.96,0.97,0.965
Centaurea_derderiifolia,9,0,1,1,1
Centaurea_legionis_septimae,x,0,0.71,0.96,0.835
Centaurea_nemecii,9,0,1,1,1
Centaurea_pindicola,10,0,1,0.99,0.995
Centaurea_magistrorum,x,0,0.87,0.97,0.92
Centaurea_brugueriana,x,1,0.55,0.93,0.74
Centaurea_leucophaea_subsp._controversa,9,0,1,0.99,0.995
Centaurea_kilaea,x,0,0.94,0.97,0.955
Centaurea_vankovii,18,1,1,0.99,0.995
Centaurea_affinis,18,1,1,0.99,0.995
Centaurea_pubescens_subsp._saharae,x,0,0.54,0.95,0.745
Centaurea_kotschyana,11,0,1,0.98,0.99
Centaurea_acarnanica,x,0,0.5,0.99,0.745
Centaurea_pinnata,9,0,1,0.99,0.995
Centaurea_ionica,x,0,0.97,0.98,0.975
Centaurea_granatensis,10,0,1,0.98,0.99
Centaurea_tymphaea,9,0,1,0.99,0.995
Centaurea_alba_subsp._latronum,9,0,1,0.99,0.995
Centaurea_citricolor,18,1,1,0.99,0.995
Centaurea_nigrescens,22,1,1,1,1
Centaurea_lagascana,33,1,0.95,0.98,0.965
Centaurea_herminii,x,0,0.9,0.98,0.94
Centaurea_carolipauana,11,0,1,0.98,0.99
Centaurea_clementei,10,0,1,0.98,0.99
Centaurea_cachinalensis,x,1,1,0.5,0.75
Centaurea_corensis,x,0,0.85,0.97,0.91
Centaurea_behen,17,1,0.99,1,0.995
Centaurea_diomedea,9,0,1,0.99,0.995
Centaurea_anthemifolia,x,0,0.87,0.99,0.93
Centaurea_babylonica,8,0,1,1,1
Centaurea_triniifolia,x,0,0.58,0.93,0.755
Centaurea_lainzii,x,NA,0.63,0.93,0.78
Centaurea_drabifolia,9,0,1,1,1
Centaurea_breviceps,x,0,1,0.99,0.995
Centaurea_paniculata_var._boetica,9,0,1,0.99,0.995
Centaurea_ochrocephala,10,0,1,0.99,0.995
Centaurea_aspromontana,x,0,0.78,0.98,0.88
Centaurea_alexandrina,10,0,1,1,1
Centaurea_tauromenitana,10,0,1,0.98,0.99
Centaurea_ornata,10,0,1,0.99,0.995
Centaurea_aetaliae,9,0,1,0.99,0.995
Centaurea_aegialophila,11,0,1,1,1
Centaurea_litardierei,20,1,1,0.98,0.99
Centaurea_aplolepa_subsp._levantina,x,0,1,0.99,0.995
Centaurea_paphlagonica,9,0,1,1,1
Centaurea_Abeltranii,x,0,1,0.99,0.995
Centaurea_consanguinea,x,0,0.88,0.96,0.92
Centaurea_argentea_subsp._macrothysana,x,0,0.93,0.97,0.95
Centaurea_castellana,9,0,1,0.99,0.995
Centaurea_brunnea,x,0,0.99,0.98,0.985
Centaurea_incompleta,9,0,1,0.99,0.995
Centaurea_aplolepa_subsp._bertolonii,x,0,1,0.98,0.99
Centaurea_salonitana,10,0,1,0.98,0.99
Centaurea_calcitrapa,10,0,1,1,1
Centaurea_aphrodisea,18,1,1,0.99,0.995
Centaurea_carratracensis,9,0,1,0.99,0.995
Centaurea_melitensis,12,1,0.99,0.99,0.99
Centaurea_resupinata_subsp._vulnerariifolia,x,0,1,0.99,0.995
Centaurea_glaberrima,18,1,1,0.99,0.995
Centaurea_limbata,9,0,1,0.99,0.995
Centaurea_crocodylium,11,0,1,1,1
Centaurea_nigra,22,1,1,0.99,0.995
Centaurea_besseriana,9,0,1,0.99,0.995
Centaurea_sarandinakiae,18,1,1,0.99,0.995
Centaurea_cyprensis,x,0,0.97,0.96,0.965
Centaurea_jankae,11,0,1,0.98,0.99
Centaurea_erycina,9,0,1,0.98,0.99
Centaurea_fischeri,20,1,1,0.99,0.995
Centaurea_giardinae,9,0,1,0.99,0.995
Centaurea_jaennensis,9,0,1,0.99,0.995
Centaurea_tomentella,9,0,1,1,1
Centaurea_amourensis,20,1,1,0.98,0.99
Centaurea_resupinata_subsp._saguntina,x,0,1,0.99,0.995
Centaurea_tenorei,9,0,1,0.99,0.995
Centaurea_pseudocadmea,18,1,1,0.99,0.995
Centaurea_argentea,9,0,1,0.99,0.995
Centaurea_borjae,33,1,0.99,0.98,0.985
Centaurea_eriophora,12,0,0.88,0.97,0.925
Centaurea_paniculata_subsp._esterellensis,9,0,1,0.99,0.995
Centaurea_pauneroi,x,0,1,0.98,0.99
Centaurea_aristata_subsp._langeana,9,0,1,0.99,0.995
Centaurea_raphanina,10,0,1,0.98,0.99
Centaurea_rouyi_subsp._suffrutescens,9,0,1,0.99,0.995
Centaurea_benedicta,11,0,1,0.98,0.99
Centaurea_pinae,9,0,1,0.99,0.995
Centaurea_litochorea,8,0,1,0.99,0.995
Centaurea_cristata,18,1,0.99,0.99,0.99
Centaurea_subtilis,11,0,1,0.99,0.995
Centaurea_scillae,x,0,0.86,1,0.93
Centaurea_kandavanensis,10,0,1,0.99,0.995
Centaurea_boissieri_subsp._mariolensis,9,0,1,0.99,0.995
Centaurea_kotschyi,18,1,1,1,1
Centaurea_scannensis,x,0,0.92,0.98,0.95
Centaurea_pomeliana,x,NA,0.58,0.92,0.75
Centaurea_paczoskii,x,1,1,0.99,0.995
Centaurea_musarum,9,0,1,0.99,0.995
Centaurea_yozgatensis,x,0,0.97,0.99,0.98
Centaurea_delicatula,x,0,0.94,0.93,0.935
Centaurea_deflexa,27,1,1,1,1
