Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Mimosa_venatorum,x,0,1,0.83,0.915
Mimosa_gymnas,x,1,0.65,0.87,0.76
Mimosa_dominarum,x,0,1,0.89,0.945
Mimosa_galeottii,x,1,1,0.9,0.95
Mimosa_borealis,x,1,1,0.92,0.96
Mimosa_discobola,x,0,1,0.86,0.93
Mimosa_loxensis,x,0,1,0.87,0.935
Mimosa_lacerata,x,1,1,0.93,0.965
Mimosa_pyrenea,x,0,1,0.84,0.92
Mimosa_colombiana,x,1,1,0.55,0.775
Mimosa_watsonii,x,1,1,0.52,0.76
Mimosa_uruguensis,13,0,1,0.93,0.965
Mimosa_robusta,x,1,1,0.88,0.94
Mimosa_coruscocaesia,x,0,1,0.9,0.95
Mimosa_busseana,x,0,1,0.84,0.92
Mimosa_similis,x,1,1,0.91,0.955
Mimosa_heringeri,x,0,1,0.88,0.94
Mimosa_flocculosa,x,1,0.75,0.85,0.8
Mimosa_ophthalmocentra,x,0,1,0.84,0.92
Mimosa_vestita,x,0,1,0.85,0.925
Mimosa_josephina,x,0,1,0.8,0.9
Mimosa_acapulcensis,x,0,0.91,0.84,0.875
Mimosa_occidentalis,x,0,1,0.79,0.895
Mimosa_corynadenia,x,0,1,0.81,0.905
Mimosa_weddelliana,x,0,0.89,0.7,0.795
Mimosa_regina,x,0,1,0.88,0.94
Mimosa_interrupta,x,0,1,0.87,0.935
Mimosa_acutistipula,13,0,1,0.94,0.97
Mimosa_purpusii,x,1,1,0.72,0.86
Mimosa_pudica,26,1,1,0.95,0.975
Mimosa_polyantha,x,1,1,0.93,0.965
Mimosa_diplotricha_var._diplotricha,13,0,1,0.96,0.98
Mimosa_montis_carasae,x,1,0.77,0.85,0.81
Mimosa_claussenii,13,0,1,0.93,0.965
Mimosa_nossibiensis,x,0,1,0.83,0.915
Mimosa_poculata,x,0,1,0.82,0.91
Mimosa_lepidophora,x,1,1,0.58,0.79
Mimosa_cisparanensis,x,0,1,0.76,0.88
Mimosa_pectinatipinna,x,0,1,0.87,0.935
Mimosa_dysocarpa,x,1,1,0.91,0.955
Mimosa_hafomantsina,x,0,1,0.85,0.925
Mimosa_nuttallii,x,1,0.98,0.86,0.92
Mimosa_emoryana,26,1,1,0.95,0.975
Mimosa_albolanata,x,0,1,0.9,0.95
Mimosa_ursina,13,0,1,0.94,0.97
Mimosa_myriocephala,x,0,1,0.79,0.895
Mimosa_diminuta,x,0,1,0.9,0.95
Mimosa_adenotricha,x,0,1,0.89,0.945
Mimosa_paucifolia,x,0,0.94,0.81,0.875
