Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Senecio_comosus,x,1,0.98,0.87,0.925
Senecio_angustifolius,x,0,0.82,0.79,0.805
Senecio_vulgaris,20,1,1,1,1
Senecio_macedonicus,20,1,1,1,1
Senecio_calocephalus,52,1,0.97,1,0.985
Senecio_gunnii,20,1,1,1,1
Senecio_telekii,10,0,1,1,1
Senecio_cunninghamii,30,1,0.99,1,0.995
Senecio_tricuspidatus,20,1,1,1,1
Senecio_integerrimus_var._exaltatus,20,1,1,1,1
Senecio_candollii,40,1,1,1,1
Senecio_comosus_var._culcitioides,20,1,1,1,1
Senecio_sphaerocephalus,20,1,1,1,1
Senecio_rufescens,20,1,1,1,1
Senecio_mohavensis,20,1,0.99,1,0.995
Senecio_lastarrianus,x,1,0.97,0.98,0.975
Senecio_humillimus,20,1,1,1,1
Senecio_glastifolius,x,NA,0.59,0.75,0.67
Senecio_hieracium,x,NA,0.91,0.62,0.765
Senecio_selloi,x,1,1,0.94,0.97
Senecio_grossidens,x,1,0.48,0.91,0.695
Senecio_latifolius,x,1,0.39,0.85,0.62
Senecio_ceratophylloides,x,1,0.68,0.91,0.795
Senecio_candidans,10,0,1,1,1
Senecio_burchellii,x,0,0.81,0.8,0.805
Senecio_triodon,x,1,0.54,0.92,0.73
Senecio_haworthii,10,0,1,1,1
Senecio_jarae,x,0,0.42,0.91,0.665
Senecio_engleranus,10,0,1,1,1
Senecio_racemosus,20,1,1,1,1
Senecio_saxatilis,10,0,1,1,1
Senecio_roseus,20,1,1,1,1
Senecio_californicus,20,1,1,1,1
Senecio_toxotis,x,1,0.85,0.89,0.87
Senecio_eubaeus,x,1,1,0.95,0.975
Senecio_breviflorus,20,1,0.99,1,0.995
Senecio_pendulus,10,0,1,1,1
Senecio_purpureus,10,0,1,1,1
Senecio_macranthus,20,1,1,1,1
Senecio_castagneanus,x,1,1,0.93,0.965
Senecio_niveus,x,0,0.8,0.83,0.815
Senecio_brigalowensis,x,1,1,0.95,0.975
Senecio_arnaldii,x,1,0.66,0.69,0.675
Senecio_vestitus,9,0,1,1,1
Senecio_smithii,20,1,1,1,1
Senecio_cakilefolius,x,0,1,0.93,0.965
Senecio_adenotrichius,x,1,1,0.86,0.93
Senecio_deltoideus,20,1,1,1,1
Senecio_asperulus,x,0,0.98,0.95,0.965
Senecio_pudicus,x,1,1,0.88,0.94
Senecio_pseudoorientalis,30,1,1,1,1
Senecio_lagascanus,60,1,1,1,1
Senecio_eriopus_subsp._hosmariensis,x,1,1,0.94,0.97
Senecio_sinuatilobus,x,1,1,0.77,0.885
Senecio_pyramidatus,x,0,1,0.91,0.955
Senecio_hadiensis,x,1,0.62,0.88,0.75
Senecio_neowebsteri,20,1,1,1,1
Senecio_gallicus,10,0,1,1,1
Senecio_perralderianus,x,1,1,0.62,0.81
Senecio_triqueter,x,NA,0.76,0.66,0.71
Senecio_leptolobus,20,1,1,1,1
Senecio_laetevirens,x,1,1,0.93,0.965
Senecio_adamantinus,50,1,1,1,1
Senecio_pseudoarnica,20,1,1,1,1
Senecio_coriaceus,x,1,1,0.98,0.99
