Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Begonia_wadei,x,0,0.55,0.85,0.7
Begonia_torajana,x,0,0.54,0.83,0.685
Begonia_stictopoda,x,0,0.67,0.87,0.77
Begonia_guangxiensis,x,0,0.67,0.82,0.745
Begonia_comorensis,x,1,1,0.75,0.875
Begonia_nantoensis,x,1,0.84,0.78,0.81
Begonia_ampla,18,1,0.96,0.91,0.935
Begonia_thomeana,x,1,0.85,0.68,0.765
Begonia_circumlobata,11,0,0.67,0.88,0.775
Begonia_ramosii,x,1,0.51,0.86,0.685
Begonia_tribenensis,x,1,0.43,0.75,0.59
Begonia_nepalensis,8,0,0.67,0.89,0.78
Begonia_jingxiensis,x,0,0.67,0.81,0.74
Begonia_bipinnatifida,x,1,0.99,0.91,0.95
Begonia_amphioxus,x,0,0.66,0.78,0.72
Begonia_zhengyiana,x,0,0.67,0.87,0.77
Begonia_varipeltata,x,0,0.6,0.82,0.71
Begonia_egregia,26,1,1,0.94,0.97
Begonia_rantemarioensis,x,0,0.55,0.85,0.7
Begonia_sublongipes,x,0,0.67,0.8,0.735
Begonia_longicarpa,10,0,0.67,0.86,0.765
Begonia_atricha,x,0,0.54,0.84,0.69
Begonia_pendula,x,0,0.66,0.76,0.71
Begonia_angularis,27,1,0.81,0.91,0.86
Begonia_ornithophylla,x,0,0.67,0.85,0.76
Begonia_meyeri_johannis,x,1,0.81,0.56,0.685
Begonia_capituliformis,x,0,0.53,0.81,0.67
Begonia_involucrata,14,0,0.67,0.91,0.79
Begonia_handelii,33,1,1,0.93,0.965
Begonia_petasitifolia,x,0,0.58,0.84,0.71
Begonia_brevirimosa,22,1,0.99,0.91,0.95
Begonia_listada,x,0,0.67,0.85,0.76
Begonia_chloroneura,x,0,0.67,0.87,0.77
Begonia_ebolowensis,x,1,1,0.85,0.925
Begonia_teysmanniana,x,0,0.67,0.84,0.755
Begonia_johnstonii,13,0,0.67,0.88,0.775
Begonia_gueritziana,x,0,0.67,0.8,0.735
Begonia_cirrosa,x,0,0.6,0.85,0.725
