Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Ranunculus_kuepferi,8,0,1,1,1
Ranunculus_subcorymbosus,14,1,1,1,1
Ranunculus_rionii,8,0,1,1,1
Ranunculus_maclovianus,x,1,1,0.76,0.88
Ranunculus_aconitifolius,8,0,1,1,1
Ranunculus_sprunerianus,8,0,1,1,1
Ranunculus_polii,8,0,1,1,1
Ranunculus_vindobonensis,16,1,1,1,1
Ranunculus_graniticola,8,0,1,1,1
Ranunculus_gayeri,16,1,1,1,1
Ranunculus_mauiensis,x,1,0.99,0.94,0.965
Ranunculus_abortivus,8,0,1,1,1
Ranunculus_velutinus,7,0,1,1,1
Ranunculus_pilifer,24,1,1,1,1
Ranunculus_ashibetsuensis,x,1,0.62,0.94,0.78
Ranunculus_crassipes,x,1,1,0.98,0.99
Ranunculus_brutius,8,0,1,1,1
Ranunculus_elbrusensis,x,1,0.98,0.83,0.905
Ranunculus_tenuirostris,x,1,0.99,0.91,0.95
Ranunculus_dahuricus,x,0,1,0.99,0.995
Ranunculus_flammula,16,1,1,1,1
Ranunculus_colonorum,x,0,0.78,0.96,0.87
Ranunculus_raeae,x,1,1,0.71,0.855
Ranunculus_nanus,8,0,1,1,1
Ranunculus_collinus,24,1,1,1,1
Ranunculus_amplexicaulis,8,0,1,1,1
Ranunculus_amerophyllus,x,NA,0.8,0.93,0.865
Ranunculus_palmatifidus,x,1,0.62,0.87,0.745
Ranunculus_weyleri,8,0,1,1,1
Ranunculus_repens,16,1,1,1,1
Ranunculus_pedatifidus_subsp._affinis,16,1,1,1,1
Ranunculus_macropodoides,x,1,0.98,0.85,0.915
Ranunculus_sinovaginatus,16,1,1,1,1
Ranunculus_polyanthemoides,8,0,1,1,1
Ranunculus_lyallii,24,1,1,1,1
Ranunculus_pseudomontanus,8,0,1,1,1
Ranunculus_diffusus,16,1,1,1,1
Ranunculus_gmelinii,12,1,1,1,1
Ranunculus_polyanthemos,8,0,1,1,1
Ranunculus_sceleratus,16,1,1,1,1
Ranunculus_reptans,16,1,1,1,1
Ranunculus_cassubicifolius,8,0,1,1,1
Ranunculus_serpens_subsp._nemorosus,8,0,1,1,1
Ranunculus_muricatus,24,1,1,1,1
Ranunculus_uncinatus,14,1,1,1,1
Ranunculus_pyrenaeus,12,1,1,1,1
Ranunculus_muelleri,x,0,1,0.96,0.98
Ranunculus_sulphureus,48,1,1,1,1
Ranunculus_strigillosus,7,0,1,1,1
Ranunculus_macrorrhynchus,x,0,0.65,0.9,0.775
Ranunculus_gregarius,8,0,1,1,1
Ranunculus_ampelophyllus,8,0,1,1,1
Ranunculus_membranaceus,x,0,0.49,0.97,0.73
Ranunculus_brassii,x,NA,0.82,0.92,0.87
Ranunculus_bonariensis,8,0,1,1,1
Ranunculus_scrithalis,x,1,1,0.8,0.9
Ranunculus_biternatus,24,1,1,1,1
Ranunculus_pinguis,24,1,1,1,1
Ranunculus_insignis,24,1,1,1,1
Ranunculus_pegaeus,x,NA,0.71,0.93,0.82
Ranunculus_buhsei,8,0,1,1,1
Ranunculus_adoneus,8,0,1,1,1
Ranunculus_rhomboideus,8,0,1,1,1
Ranunculus_oxyspermus,8,0,1,1,1
Ranunculus_granatensis,14,1,1,1,1
Ranunculus_variabilis,16,1,1,1,1
Ranunculus_wallichianus,8,0,1,1,1
Ranunculus_meyeri,x,1,1,0.68,0.84
Ranunculus_carpaticus,14,1,0.74,1,0.87
Ranunculus_ficariifolius,16,1,1,1,1
Ranunculus_sieboldii,24,1,1,1,1
Ranunculus_fascicularis,16,1,1,1,1
Ranunculus_kadzusensis,x,1,0.62,0.95,0.785
Ranunculus_eichlerianus,x,0,0.78,0.95,0.865
Ranunculus_natans,8,0,1,1,1
Ranunculus_taisanensis,x,1,0.59,0.93,0.76
Ranunculus_jovis,x,1,0.93,0.95,0.94
Ranunculus_nivalis,24,1,1,1,1
Ranunculus_wettsteinii,16,1,1,1,1
Ranunculus_dissectifolius,x,0,1,0.97,0.985
Ranunculus_stagnalis,14,1,1,1,1
Ranunculus_serbicus,14,1,1,1,1
Ranunculus_nipponicus,x,1,0.64,0.97,0.805
Ranunculus_seguieri_subsp._montenegrinus,20,1,1,1,1
Ranunculus_ollissiponensis,8,0,1,1,1
Ranunculus_cacuminis,x,NA,0.56,0.95,0.755
Ranunculus_montanus,16,1,1,1,1
Ranunculus_acris,7,0,1,1,1
Ranunculus_acriformis,14,1,1,1,1
Ranunculus_millefolius_subsp._hierosolymitanus,8,0,1,1,1
Ranunculus_cassius,7,0,1,1,1
Ranunculus_enysii,24,1,1,1,1
Ranunculus_sericophyllus,24,1,1,1,1
Ranunculus_lingua,64,1,1,1,1
Ranunculus_orthorhynchus,16,1,1,1,1
Ranunculus_gouanii,8,0,1,1,1
Ranunculus_carpinetorum,x,0,0.56,0.97,0.765
Ranunculus_novus,14,1,0.99,1,0.995
Ranunculus_gunnianus,24,1,1,1,1
Ranunculus_sartorianus,8,0,1,1,1
Ranunculus_grahamii,x,1,1,0.89,0.945
Ranunculus_japonicus,7,0,1,1,1
Ranunculus_carinthiacus,8,0,1,1,1
Ranunculus_cabrerensis,8,0,1,1,1
Ranunculus_tembensis,x,1,0.9,0.89,0.895
Ranunculus_borealis,7,0,1,1,1
Ranunculus_hirtellus,12,1,1,1,1
Ranunculus_bilobus,8,0,1,1,1
Ranunculus_papulentus,48,1,1,1,1
Ranunculus_cicutarius,x,NA,0.77,0.89,0.83
Ranunculus_alismifolius,x,1,1,0.84,0.92
Ranunculus_ternatus,8,0,1,1,1
Ranunculus_platanifolius,8,0,1,1,1
Ranunculus_parviflorus,14,1,1,1,1
Ranunculus_hyperboreus,16,1,1,1,1
Ranunculus_lateriflorus,8,0,1,1,1
Ranunculus_olgae,x,1,0.98,0.81,0.895
