Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Acacia_tenuissima,x,0,1,0.98,0.99
Acacia_sclerophylla,x,1,0.55,0.97,0.76
Acacia_muelleriana,x,0,1,0.98,0.99
Acacia_hylonoma,13,0,1,1,1
Acacia_saxatilis,x,0,1,0.94,0.97
Acacia_pterocaulon,x,0,1,0.91,0.955
Acacia_semilunata,x,0,1,0.99,0.995
Acacia_cretata,x,0,0.65,0.96,0.805
Acacia_desmondii,x,0,1,0.99,0.995
Acacia_binata,x,0,1,1,1
Acacia_oncinocarpa,x,0,1,0.95,0.975
Acacia_estrophiolata,x,0,1,0.93,0.965
Acacia_obliquinervia,13,0,1,1,1
Acacia_catenulata,x,NA,0.6,0.96,0.78
Acacia_umbellata,x,0,0.76,0.98,0.87
Acacia_polybotrya,x,0,1,0.98,0.99
Acacia_angusta,x,0,1,0.97,0.985
Acacia_quadrimarginea,x,0,0.62,0.96,0.79
Acacia_olsenii,x,0,1,0.97,0.985
Acacia_auricoma,x,0,1,0.91,0.955
Acacia_asperulacea,x,0,1,0.95,0.975
Acacia_argyrodendron,x,0,1,1,1
Acacia_inaequilatera,x,0,1,0.86,0.93
Acacia_cambagei,x,0,1,0.98,0.99
Acacia_leptoneura,x,0,0.99,0.94,0.965
Acacia_koaia,x,1,0.97,0.99,0.98
Acacia_coolgardiensis,x,1,0.79,0.98,0.885
Acacia_neurocarpa,x,0,1,0.99,0.995
Acacia_barattensis,x,0,1,0.95,0.975
Acacia_auriculiformis,13,0,1,1,1
Acacia_tenuinervis,x,0,0.76,0.98,0.87
Acacia_rhigiophylla,x,0,1,1,1
Acacia_aphanoclada,x,0,1,0.9,0.95
Acacia_yirrkallensis,x,0,1,0.95,0.975
Acacia_howittii,x,0,1,0.97,0.985
Acacia_heteroclita,x,0,0.97,0.97,0.97
Acacia_obtecta,x,0,1,0.99,0.995
Acacia_retinervis,x,0,1,0.97,0.985
Acacia_macdonnellensis,x,0,0.78,0.99,0.885
Acacia_retinodes_var._uncifolia,x,0,1,0.98,0.99
Acacia_mackeyana,x,0,1,0.98,0.99
Acacia_hilliana,x,0,1,0.97,0.985
Acacia_telmica,x,0,1,0.97,0.985
Acacia_cincinnata,13,0,1,1,1
Acacia_carnosula,x,0,1,0.9,0.95
Acacia_simulans,x,0,1,0.97,0.985
Acacia_aulacocarpa,13,0,1,1,1
Acacia_empelioclada,x,0,1,0.92,0.96
Acacia_beadleana,x,0,1,0.97,0.985
Acacia_crassiuscula,x,0,1,0.98,0.99
Acacia_harveyi,x,0,1,0.97,0.985
Acacia_woodmaniorum,x,0,1,0.95,0.975
Acacia_lasiocalyx,x,0,1,0.97,0.985
Acacia_ayersiana,x,0,0.62,0.97,0.795
Acacia_merrickiae,x,0,1,0.97,0.985
Acacia_jamesiana,x,0,1,0.96,0.98
Acacia_beauverdiana,x,0,1,0.99,0.995
Acacia_maranoensis,x,0,0.64,0.99,0.815
Acacia_hemiteles,x,0,0.62,0.98,0.8
Acacia_perryi,x,0,1,0.95,0.975
Acacia_ryaniana,x,0,1,0.98,0.99
Acacia_pycnostachya,x,0,0.85,1,0.925
Acacia_nigricans,x,0,1,0.9,0.95
Acacia_murrayana,x,0,1,0.94,0.97
Acacia_jonesii,x,0,1,0.97,0.985
Acacia_brachystachya,26,1,0.99,1,0.995
Acacia_frigescens,x,0,1,0.93,0.965
Acacia_gnidium,x,0,1,0.99,0.995
Acacia_brumalis,x,0,1,0.97,0.985
Acacia_pygmaea,x,0,1,0.91,0.955
Acacia_silvestris,x,0,1,0.99,0.995
Acacia_shirleyi,x,0,0.46,0.95,0.705
Acacia_suaveolens,13,0,1,1,1
Acacia_tenuispica,x,0,1,0.99,0.995
Acacia_cremiflora,x,0,1,0.98,0.99
Acacia_basedowii,x,0,1,0.95,0.975
Acacia_strongylophylla,x,0,1,0.95,0.975
Acacia_striatifolia,x,0,0.76,0.98,0.87
Acacia_deanei,13,0,1,1,1
Acacia_caesiella,x,0,1,0.96,0.98
Acacia_anastema,x,0,0.56,0.98,0.77
Acacia_hemsleyi,x,0,1,0.95,0.975
Acacia_linearifolia,x,0,1,0.98,0.99
Acacia_sulcaticaulis,x,1,0.97,0.97,0.97
Acacia_pubicosta,x,0,1,0.99,0.995
Acacia_pulchella_var._glaberrima,x,0,1,1,1
Acacia_pendula,x,0,0.78,1,0.89
Acacia_globulifera,x,0,0.89,0.97,0.93
Acacia_bakeri,x,0,1,0.89,0.945
Acacia_xiphophylla,x,0,1,0.93,0.965
Acacia_pulviniformis,x,0,1,0.97,0.985
Acacia_multispicata,x,0,1,0.98,0.99
Acacia_drummondii_subsp._affinis,x,0,1,0.97,0.985
Acacia_jibberdingensis,x,0,1,0.95,0.975
Acacia_nervosa,x,0,1,0.98,0.99
Acacia_iteaphylla,13,0,1,1,1
Acacia_pyrifolia,x,0,1,0.9,0.95
Acacia_heterochroa,x,0,1,0.94,0.97
Acacia_obtusata,x,0,1,0.98,0.99
Acacia_difficilis,x,0,1,0.98,0.99
Acacia_terminalis,13,0,1,1,1
Acacia_rhamphophylla,x,0,1,0.98,0.99
Acacia_mabellae,x,0,1,1,1
Acacia_nigripilosa,x,0,1,0.96,0.98
Acacia_chrysocephala,x,0,1,0.91,0.955
Acacia_anceps,13,0,1,1,1
